                Step                 IBox              Time(s)             TStep(s)         NACTClusters         TotalCluster           TotalAtoms       NUM_ACTIVEFREE       NUM_ACTIVEINGB      NUM_OUT_DESTROY       NUM_EXP_DESTRO      NUM_MIS_DESTROY         NUM_ABSORBED       NUM_ANNIHILATE      RMIN_ACTIVEFREE      RMIN_ACTIVEINGB     RMIN_OUT_DESTROY      RMIN_EXP_DESTRO     RMIN_MIS_DESTROY        RMIN_ABSORBED      RMIN_ANNIHILATE      RMAX_ACTIVEFREE      RMAX_ACTIVEINGB     RMAX_OUT_DESTROY      RMAX_EXP_DESTRO     RMAX_MIS_DESTROY        RMAX_ABSORBED      RMAX_ANNIHILATE                 RAVE                 NAVA          Concentrate         TotalImplant      ACUM_ACTIVEFREE      ACUM_ACTIVEINGB     ACUM_OUT_DESTROY      ACUM_EXP_DESTRO     ACUM_MIS_DESTROY        ACUM_ABSORBED      ACUM_ANNIHILATE
                   0                   32       0.00000000E+00       0.00000000E+00                   15                   15                   22                   15                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.84793742E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.61403346E-01       1.46666667E+00       5.91286279E+16                    0                   15                    0                    0                    0                    0                    0                    0
                   0                   33       0.00000000E+00       0.00000000E+00                   36                   36                   44                   36                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.56147710E-01       1.22222222E+00       1.41908707E+17                    0                   36                    0                    0                    0                    0                    0                    0
                   0                   34       0.00000000E+00       0.00000000E+00                   26                   26                   30                   26                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.05922715E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.54065924E-01       1.15384615E+00       1.02489622E+17                    0                   26                    0                    0                    0                    0                    0                    0
                   0                   35       0.00000000E+00       0.00000000E+00                   24                   24                   28                   24                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.52167593E-01       1.16666667E+00       9.46058046E+16                    0                   24                    0                    0                    0                    0                    0                    0
                   0                   36       0.00000000E+00       0.00000000E+00                   44                   44                   52                   44                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.55205291E-01       1.18181818E+00       1.73443975E+17                    0                   44                    0                    0                    0                    0                    0                    0
                   0                   37       0.00000000E+00       0.00000000E+00                   37                   37                   42                   37                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.52196924E-01       1.13513514E+00       1.45850615E+17                    0                   37                    0                    0                    0                    0                    0                    0
                   0                   38       0.00000000E+00       0.00000000E+00                   43                   43                   56                   43                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.84793742E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.57227644E-01       1.30232558E+00       1.69502067E+17                    0                   43                    0                    0                    0                    0                    0                    0
                   0                   39       0.00000000E+00       0.00000000E+00                   23                   23                   28                   23                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.62825549E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.53064638E-01       1.21739130E+00       9.06638961E+16                    0                   23                    0                    0                    0                    0                    0                    0
                   0                   40       0.00000000E+00       0.00000000E+00                   40                   40                   46                   40                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.53806849E-01       1.15000000E+00       1.57676341E+17                    0                   40                    0                    0                    0                    0                    0                    0
                   0                   41       0.00000000E+00       0.00000000E+00                   33                   33                   46                   33                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       3.76914905E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.54548180E-01       1.39393939E+00       1.30082981E+17                    0                   33                    0                    0                    0                    0                    0                    0
                   0                   42       0.00000000E+00       0.00000000E+00                   35                   35                   48                   35                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.62825549E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.61100953E-01       1.37142857E+00       1.37966798E+17                    0                   35                    0                    0                    0                    0                    0                    0
                   0                   43       0.00000000E+00       0.00000000E+00                   27                   27                   36                   27                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.60044217E-01       1.33333333E+00       1.06431530E+17                    0                   27                    0                    0                    0                    0                    0                    0
                   0                   44       0.00000000E+00       0.00000000E+00                   27                   27                   36                   27                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.59508148E-01       1.33333333E+00       1.06431530E+17                    0                   27                    0                    0                    0                    0                    0                    0
                   0                   45       0.00000000E+00       0.00000000E+00                   26                   26                   28                   26                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.50624666E-01       1.07692308E+00       1.02489622E+17                    0                   26                    0                    0                    0                    0                    0                    0
                   0                   46       0.00000000E+00       0.00000000E+00                   24                   24                   34                   24                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       3.03996485E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.59502933E-01       1.41666667E+00       9.46058046E+16                    0                   24                    0                    0                    0                    0                    0                    0
                   0                   47       0.00000000E+00       0.00000000E+00                   36                   36                   40                   36                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.51309303E-01       1.11111111E+00       1.41908707E+17                    0                   36                    0                    0                    0                    0                    0                    0
                   0                   48       0.00000000E+00       0.00000000E+00                   22                   22                   24                   22                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.49943687E-01       1.09090909E+00       8.67219875E+16                    0                   22                    0                    0                    0                    0                    0                    0
                   0                   49       0.00000000E+00       0.00000000E+00                   38                   38                   48                   38                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.28543956E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.57627245E-01       1.26315789E+00       1.49792524E+17                    0                   38                    0                    0                    0                    0                    0                    0
                   0                   50       0.00000000E+00       0.00000000E+00                   37                   37                   44                   37                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.84793742E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.52171313E-01       1.18918919E+00       1.45850615E+17                    0                   37                    0                    0                    0                    0                    0                    0
